,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SqFtPerRoom,Total_Home_Quality,Total_Bathrooms,HighQualSF
0,4.110873864173311,RL,4.189654742026425,9.042040056544483,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,1.791759469228055,7.602900462204755,7.602900462204755,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.2832037287379885,Gd,TA,PConc,Gd,TA,No,GLQ,6.561030665896573,Unf,0.0,5.017279836814924,6.75343791859778,GasA,Ex,Y,SBrkr,6.75343791859778,6.75110146893676,0.0,7.444833273892193,0.6931471805599453,0.0,2,0.6931471805599453,3,0.6931471805599453,Gd,2.1972245773362196,Typ,0.0,None,Attchd,7.602900462204755,RFn,2,548,TA,TA,Y,0.0,4.127134385045092,0.0,0.0,0.0,0.0,None,None,None,0.0,2,2008,WD,Normal,4.966335035199676,12,3.5,7.444833273892193
1,3.044522437723423,RL,4.394449154672439,9.169622538697624,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,2.1972245773362196,7.589335823170617,7.589335823170617,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,6.88653164253051,Unf,0.0,5.652489180268651,7.141245122350491,GasA,Ex,Y,SBrkr,7.141245122350491,0.0,0.0,7.141245122350491,0.0,0.6931471805599453,2,0.0,3,0.6931471805599453,TA,1.9459101490553132,Typ,0.6931471805599453,TA,Attchd,7.589335823170617,RFn,2,460,TA,TA,Y,5.700443573390686,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0,5,2007,WD,Normal,4.950334693853235,14,2.5,7.141245122350491
2,4.110873864173311,RL,4.23410650459726,9.328212292571072,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,1.791759469228055,7.601901959875166,7.602401335665818,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.093750200806762,Gd,TA,PConc,Gd,TA,Mn,GLQ,6.18826412308259,Unf,0.0,6.075346031088684,6.825460036255307,GasA,Ex,Y,SBrkr,6.825460036255307,6.7650389767805414,0.0,7.488293515159428,0.6931471805599453,0.0,2,0.6931471805599453,3,0.6931471805599453,Gd,1.9459101490553132,Typ,0.6931471805599453,TA,Attchd,7.601901959875166,RFn,2,608,TA,TA,Y,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,None,None,None,0.0,9,2008,WD,Normal,5.190732155868099,12,3.5,7.488293515159428
3,4.2626798770413155,RL,4.110873864173311,9.164401140034737,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,1.791759469228055,7.557994958530806,7.58629630715272,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,5.37989735354046,Unf,0.0,6.293419278846481,6.6293632534374485,GasA,Gd,Y,SBrkr,6.8690144506657065,6.6293632534374485,0.0,7.4489161025442,0.6931471805599453,0.0,1,0.0,3,0.6931471805599453,Gd,2.0794415416798357,Typ,0.6931471805599453,Gd,Detchd,7.6004023345004,Unf,3,642,TA,TA,Y,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,None,None,None,0.0,2,2006,WD,Abnorml,5.256337294307154,12,2.0,7.4489161025442
4,4.110873864173311,RL,4.442651256490317,9.565283817736766,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,1.791759469228055,7.601402334583733,7.601402334583733,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.860786223465865,Gd,TA,PConc,Gd,TA,Av,GLQ,6.486160788944089,Unf,0.0,6.19644412779452,7.044032897274685,GasA,Ex,Y,SBrkr,7.044032897274685,6.960347729101308,0.0,7.695757990554761,0.6931471805599453,0.0,2,0.6931471805599453,4,0.6931471805599453,Gd,2.302585092994046,Typ,0.6931471805599453,TA,Attchd,7.601402334583733,RFn,3,836,TA,TA,Y,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,None,None,None,0.0,12,2008,WD,Normal,5.136250823395909,13,3.5,7.695757990554761
5,3.9318256327243257,RL,4.454347296253507,9.55506418479516,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,1.791759469228055,7.597897950521784,7.59890045687141,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,6.597145701886651,Unf,0.0,4.174387269895637,6.680854678790215,GasA,Ex,Y,SBrkr,6.680854678790215,6.340359303727752,0.0,7.217443431696533,0.6931471805599453,0.0,1,0.6931471805599453,1,0.6931471805599453,TA,1.791759469228055,Typ,0.0,None,Attchd,7.597897950521784,Unf,2,480,TA,TA,Y,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,None,MnPrv,Shed,6.55250788703459,10,2009,WD,Normal,5.143124477142335,10,2.5,7.217443431696533
6,3.044522437723423,RL,4.330733340286331,9.218804450388312,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,1.791759469228055,7.60339933974067,7.603897968521881,Gable,CompShg,VinylSd,VinylSd,Stone,5.231108616854587,Gd,TA,PConc,Ex,TA,Av,GLQ,7.222566018822171,Unf,0.0,5.762051382780177,7.430707082545968,GasA,Ex,Y,SBrkr,7.43543801981455,0.0,0.0,7.43543801981455,0.6931471805599453,0.0,2,0.0,3,0.6931471805599453,Gd,2.0794415416798357,Typ,0.6931471805599453,Gd,Attchd,7.60339933974067,RFn,2,636,TA,TA,Y,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.0,None,None,None,0.0,8,2007,WD,Normal,5.138148614395216,13,3.0,7.43543801981455
7,4.110873864173311,RL,4.361823927356363,9.247925132303454,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,1.9459101490553132,7.587817219993427,7.587817219993427,Gable,CompShg,HdBoard,HdBoard,Stone,5.484796933490655,TA,TA,CBlock,Gd,TA,Mn,ALQ,6.756932389247553,BLQ,3.4965075614664802,5.37989735354046,7.010311867307229,GasA,Ex,Y,SBrkr,7.010311867307229,6.891625897052253,0.0,7.645397699428633,0.6931471805599453,0.0,2,0.6931471805599453,3,0.6931471805599453,TA,2.0794415416798357,Typ,1.0986122886681096,TA,Attchd,7.587817219993427,RFn,2,484,TA,TA,Y,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,None,None,Shed,5.860786223465865,11,2009,WD,Normal,5.25227342804663,13,3.5,7.645397699428633
8,3.9318256327243257,RM,3.9512437185814275,8.71948076085107,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,1.791759469228055,7.566311014772463,7.576097340623111,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.859614903654202,6.859614903654202,GasA,Gd,Y,FuseF,6.930494765951626,6.6240652277998935,0.0,7.4815557019095165,0.0,0.0,2,0.0,2,1.0986122886681096,TA,2.1972245773362196,Min1,1.0986122886681096,TA,Detchd,7.566311014772463,Unf,2,468,Fa,TA,Y,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.0,None,None,None,0.0,4,2008,WD,Abnorml,5.002827111648444,12,2.0,7.4815557019095165
9,5.25227342804663,RL,3.9318256327243257,8.912069097970134,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,1.9459101490553132,7.570443252057374,7.576097340623111,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,6.747586526829315,Unf,0.0,4.948759890378168,6.899723107284872,GasA,Ex,Y,SBrkr,6.982862751468942,0.0,0.0,6.982862751468942,0.6931471805599453,0.0,1,0.0,2,1.0986122886681096,TA,1.791759469228055,Typ,1.0986122886681096,TA,Attchd,7.570443252057374,RFn,1,205,Gd,TA,Y,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,None,None,None,0.0,1,2008,WD,Normal,4.909893724294724,11,2.0,6.982862751468942
